uf,br,total_acidentes,acidentes_fatais,total_mortos,perc_fatais
RS,116,1317,55,63,4.18
PB,104,169,17,18,10.06
PI,316,448,35,36,7.81
SC,280,880,36,44,4.09
PI,402,24,3,3,12.5
GO,414,161,20,25,12.42
CE,226,7,4,5,57.14
RN,226,177,16,21,9.04
AC,364,220,18,18,8.18
AL,316,177,24,27,13.56
DF,70,285,8,8,2.81
AM,230,24,0,0,0.0
BA,420,28,8,10,28.57
TO,226,9,1,1,11.11
AL,416,13,6,6,46.15
DF,251,59,6,7,10.17
SC,0,10,0,0,0.0
PI,20,1,0,0,0.0
RR,431,1,0,0,0.0
ES,262,382,23,26,6.02
RJ,101,2415,125,138,5.18
CE,222,359,47,51,13.09
RS,290,768,31,40,4.04
GO,153,973,66,91,6.78
PR,277,2157,134,152,6.21
BA,349,52,12,16,23.08
PA,163,261,33,40,12.64
MA,230,119,22,24,18.49
MS,262,285,34,41,11.93
DF,60,121,8,9,6.61
MA,10,221,40,46,18.1
RN,406,127,7,7,5.51
AM,319,36,10,16,27.78
RO,421,23,1,1,4.35
RN,427,40,4,4,10.0
ES,484,1,0,0,0.0
MS,359,6,1,1,16.67
AL,424,15,4,6,26.67
CE,116,707,65,72,9.19
MG,40,1972,123,153,6.24
PE,232,830,99,105,11.93
PB,101,509,27,30,5.3
RO,435,69,8,9,11.59
CE,20,132,15,15,11.36
SP,101,256,6,8,2.34
PE,424,76,15,17,19.74
AP,210,111,9,14,8.11
PA,308,34,10,10,29.41
CE,402,13,5,9,38.46
MG,265,2,0,0,0.0
RJ,485,2,0,0,0.0
MA,0,1,0,0,0.0
TO,230,21,8,9,38.1
TO,10,127,9,10,7.09
MG,50,592,28,28,4.73
ES,393,37,1,1,2.7
GO,452,105,7,9,6.67
MA,222,152,36,46,23.68
GO,60,803,50,52,6.23
BA,135,58,13,20,22.41
ES,259,123,7,9,5.69
RN,405,82,21,21,25.61
CE,230,22,12,13,54.55
SE,0,2,0,0,0.0
TO,242,26,4,4,15.38
PI,235,4,1,1,25.0
BA,30,4,2,2,50.0
SP,488,33,1,1,3.03
ES,0,7,0,0,0.0
MS,0,3,0,0,0.0
MG,116,1412,104,124,7.37
PR,163,373,30,34,8.04
SP,381,651,32,32,4.92
MG,262,1095,90,101,8.22
RS,386,623,48,60,7.7
MG,146,55,3,3,5.45
PE,316,96,19,19,19.79
MS,376,62,5,5,8.06
PE,116,48,5,6,10.42
RS,392,364,20,26,5.49
SC,158,35,1,1,2.86
PI,222,33,10,10,30.3
AM,0,4,0,0,0.0
SC,285,2,0,0,0.0
AM,317,1,1,1,100.0
GO,364,137,12,15,8.76
MS,158,133,15,15,11.28
RJ,356,142,7,8,4.93
SP,153,449,21,25,4.68
PR,373,231,27,39,11.69
PB,412,28,10,10,35.71
PE,408,141,23,24,16.31
MA,316,244,62,72,25.41
RS,471,81,5,5,6.17
RS,448,86,2,2,2.33
RO,174,56,1,1,1.79
RN,110,112,8,8,7.14
RR,401,35,5,8,14.29
CE,0,3,0,0,0.0
MS,487,6,1,2,16.67
MA,402,26,8,11,30.77
PA,153,8,4,4,50.0
BA,367,137,3,5,2.19
BA,330,49,6,6,12.24
RR,432,23,4,5,17.39
RN,0,6,0,0,0.0
PR,469,55,0,0,0.0
CE,122,2,0,0,0.0
TO,0,3,0,0,0.0
RR,0,1,0,0,0.0
PB,405,15,1,1,6.67
PB,230,1191,65,75,5.46
RJ,393,320,25,28,7.81
GO,20,170,21,34,12.35
